
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
1.99999996e-002, -2.10209757e-001, 3.99999991e-002, 8.77644539e-001
1.99999996e-002, -2.11410955e-001, 3.99999991e-002, 8.62296402e-001
1.99999996e-002, -2.12612152e-001, 3.99999991e-002, 8.47697377e-001
1.99999996e-002, -2.13813350e-001, 3.99999991e-002, 8.31715107e-001
1.99999996e-002, -2.15014547e-001, 3.99999991e-002, 8.17488372e-001
1.99999996e-002, -2.16215745e-001, 3.99999991e-002, 8.05362701e-001
1.99999996e-002, -2.17416942e-001, 3.99999991e-002, 7.95434058e-001
1.99999996e-002, -2.18618140e-001, 3.99999991e-002, 7.87785530e-001
1.99999996e-002, -2.19819337e-001, 3.99999991e-002, 7.82484174e-001
1.99999996e-002, -2.21020535e-001, 3.99999991e-002, 7.79577494e-001
1.99999996e-002, -2.22221732e-001, 3.99999991e-002, 7.79092610e-001
1.99999996e-002, -2.23422930e-001, 3.99999991e-002, 7.81944275e-001
1.99999996e-002, -2.24624127e-001, 3.99999991e-002, 7.87407219e-001
1.99999996e-002, -2.25825325e-001, 3.99999991e-002, 7.94510484e-001
1.99999996e-002, -2.27026522e-001, 3.99999991e-002, 8.03210735e-001
1.99999996e-002, -2.28227720e-001, 3.99999991e-002, 8.13456655e-001
1.99999996e-002, -2.29428917e-001, 3.99999991e-002, 8.25190604e-001
1.99999996e-002, -2.30630115e-001, 3.99999991e-002, 8.38350236e-001
1.99999996e-002, -2.31831312e-001, 3.99999991e-002, 8.52869570e-001
1.99999996e-002, -2.33032510e-001, 3.99999991e-002, 8.66500556e-001
1.99999996e-002, -2.34233707e-001, 3.99999991e-002, 8.69710684e-001
1.99999996e-002, -2.35434905e-001, 3.99999991e-002, 8.72968614e-001
1.99999996e-002, -2.36636102e-001, 3.99999991e-002, 8.76273990e-001
1.99999996e-002, -2.37837300e-001, 3.99999991e-002, 8.79626215e-001
1.99999996e-002, -2.39038497e-001, 3.99999991e-002, 8.83024871e-001
1.99999996e-002, -2.40239695e-001, 3.99999991e-002, 8.86469245e-001
1.99999996e-002, -2.41440892e-001, 3.99999991e-002, 8.89959037e-001
1.99999996e-002, -2.42642090e-001, 3.99999991e-002, 8.93493533e-001
1.99999996e-002, -2.43843287e-001, 3.99999991e-002, 8.86141539e-001
1.99999996e-002, -2.45044485e-001, 3.99999991e-002, 8.76050234e-001
1.99999996e-002, -2.46245682e-001, 3.99999991e-002, 8.66183341e-001
1.99999996e-002, -2.47446880e-001, 3.99999991e-002, 8.56548309e-001
1.99999996e-002, -2.48648077e-001, 3.99999991e-002, 8.47153366e-001
1.99999996e-002, -2.49849275e-001, 3.99999991e-002, 8.38006556e-001
1.99999996e-002, -2.51050472e-001, 3.99999991e-002, 8.29115927e-001
1.99999996e-002, -2.52251685e-001, 3.99999991e-002, 8.20489883e-001
1.99999996e-002, -2.53452897e-001, 3.99999991e-002, 8.09172750e-001
1.99999996e-002, -2.54654109e-001, 3.99999991e-002, 7.94213057e-001
1.99999996e-002, -2.55855322e-001, 3.99999991e-002, 7.80044973e-001
1.99999996e-002, -2.57056534e-001, 3.99999991e-002, 7.66712606e-001
1.99999996e-002, -2.58257747e-001, 3.99999991e-002, 7.54259944e-001
1.99999996e-002, -2.59458959e-001, 3.99999991e-002, 7.42731571e-001
1.99999996e-002, -2.60660172e-001, 3.99999991e-002, 7.32170880e-001
1.99999996e-002, -2.61861384e-001, 3.99999991e-002, 7.22620428e-001
1.99999996e-002, -2.63062596e-001, 3.99999991e-002, 7.14104116e-001
1.99999996e-002, -2.64263809e-001, 3.99999991e-002, 7.06321001e-001
1.99999996e-002, -2.65465021e-001, 3.99999991e-002, 7.00070322e-001
1.99999996e-002, -2.66666234e-001, 3.99999991e-002, 6.95393205e-001
1.99999996e-002, -2.67867446e-001, 3.99999991e-002, 6.92321837e-001
1.99999996e-002, -2.69068658e-001, 3.99999991e-002, 6.90877557e-001
1.99999996e-002, -2.70269871e-001, 3.99999991e-002, 6.91070437e-001
1.99999996e-002, -2.71471083e-001, 3.99999991e-002, 6.92899108e-001
1.99999996e-002, -2.72672296e-001, 3.99999991e-002, 6.96350932e-001
1.99999996e-002, -2.73873508e-001, 3.99999991e-002, 7.07408786e-001
1.99999996e-002, -2.75074720e-001, 3.99999991e-002, 7.23435938e-001
1.99999996e-002, -2.76275933e-001, 3.99999991e-002, 7.41227090e-001
1.99999996e-002, -2.77477145e-001, 3.99999991e-002, 7.60658205e-001
1.99999996e-002, -2.78678358e-001, 3.99999991e-002, 7.81607270e-001
1.99999996e-002, -2.79879570e-001, 3.99999991e-002, 8.03955615e-001
1.99999996e-002, -2.81080782e-001, 3.99999991e-002, 8.27589631e-001
1.99999996e-002, -2.82281995e-001, 3.99999991e-002, 8.52402747e-001
1.99999996e-002, -2.83483207e-001, 3.99999991e-002, 8.83158267e-001
1.99999996e-002, -2.84684420e-001, 3.99999991e-002, 9.27117169e-001
1.99999996e-002, -2.85885632e-001, 3.99999991e-002, 9.71431136e-001
1.99999996e-002, -2.87086844e-001, 3.99999991e-002, 1.01605368e+000
1.99999996e-002, -2.88288057e-001, 3.99999991e-002, 1.06094623e+000
1.99999996e-002, -2.89489269e-001, 3.99999991e-002, 1.10607541e+000
