
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
9.99999978e-003, -2.25825325e-001, 5.00000007e-002, 7.53147244e-001
9.99999978e-003, -2.27026522e-001, 5.00000007e-002, 7.60038018e-001
9.99999978e-003, -2.28227720e-001, 5.00000007e-002, 7.66933799e-001
9.99999978e-003, -2.29428917e-001, 5.00000007e-002, 7.73834527e-001
9.99999978e-003, -2.30630115e-001, 5.00000007e-002, 7.80740201e-001
9.99999978e-003, -2.31831312e-001, 5.00000007e-002, 7.87650585e-001
9.99999978e-003, -2.33032510e-001, 5.00000007e-002, 7.94721544e-001
9.99999978e-003, -2.34233707e-001, 5.00000007e-002, 7.82646954e-001
9.99999978e-003, -2.35434905e-001, 5.00000007e-002, 7.70612955e-001
9.99999978e-003, -2.36636102e-001, 5.00000007e-002, 7.58912981e-001
9.99999978e-003, -2.37837300e-001, 5.00000007e-002, 7.47562826e-001
9.99999978e-003, -2.39038497e-001, 5.00000007e-002, 7.36578584e-001
9.99999978e-003, -2.40239695e-001, 5.00000007e-002, 7.25976825e-001
9.99999978e-003, -2.41440892e-001, 5.00000007e-002, 7.15774655e-001
9.99999978e-003, -2.42642090e-001, 5.00000007e-002, 7.05989242e-001
9.99999978e-003, -2.43843287e-001, 5.00000007e-002, 6.86588764e-001
9.99999978e-003, -2.45044485e-001, 5.00000007e-002, 6.62210524e-001
9.99999978e-003, -2.46245682e-001, 5.00000007e-002, 6.39877021e-001
9.99999978e-003, -2.47446880e-001, 5.00000007e-002, 6.19809151e-001
9.99999978e-003, -2.48648077e-001, 5.00000007e-002, 6.02233768e-001
9.99999978e-003, -2.49849275e-001, 5.00000007e-002, 5.87374270e-001
9.99999978e-003, -2.51050472e-001, 5.00000007e-002, 5.75441241e-001
9.99999978e-003, -2.52251685e-001, 5.00000007e-002, 5.66619575e-001
9.99999978e-003, -2.53452897e-001, 5.00000007e-002, 5.62508225e-001
9.99999978e-003, -2.54654109e-001, 5.00000007e-002, 5.70986271e-001
9.99999978e-003, -2.55855322e-001, 5.00000007e-002, 5.89600801e-001
9.99999978e-003, -2.57056534e-001, 5.00000007e-002, 6.17435515e-001
9.99999978e-003, -2.58257747e-001, 5.00000007e-002, 6.53313398e-001
9.99999978e-003, -2.59458959e-001, 5.00000007e-002, 6.95991218e-001
9.99999978e-003, -2.60660172e-001, 5.00000007e-002, 7.44300425e-001
9.99999978e-003, -2.61861384e-001, 5.00000007e-002, 7.97217846e-001
9.99999978e-003, -2.63062596e-001, 5.00000007e-002, 8.53887260e-001
9.99999978e-003, -2.64263809e-001, 5.00000007e-002, 9.41910088e-001
9.99999978e-003, -2.65465021e-001, 5.00000007e-002, 1.03634334e+000
9.99999978e-003, -2.66666234e-001, 5.00000007e-002, 1.13208902e+000
9.99999978e-003, -2.67867446e-001, 5.00000007e-002, 1.22884071e+000
9.99999978e-003, -2.69068658e-001, 5.00000007e-002, 1.32637787e+000
9.99999978e-003, -2.70269871e-001, 5.00000007e-002, 1.42453921e+000
9.99999978e-003, -2.71471083e-001, 5.00000007e-002, 1.52320445e+000
9.99999978e-003, -2.72672296e-001, 5.00000007e-002, 1.62228131e+000
9.99999978e-003, -2.73873508e-001, 5.00000007e-002, 1.70278466e+000
9.99999978e-003, -2.75074720e-001, 5.00000007e-002, 1.76337111e+000
9.99999978e-003, -2.76275933e-001, 5.00000007e-002, 1.82397115e+000
